iter	MultiClass
339	0.1431850624
340	0.1431788597
341	0.1431643017
342	0.143159142
343	0.1431527182
344	0.1431437477
345	0.1431365502
346	0.1431248176
347	0.1431126955
348	0.1431061036
349	0.1430999481
350	0.1430964162
351	0.1430909505
352	0.1430835443
353	0.1430706914
354	0.1430673006
355	0.1430600506
356	0.1430472606
357	0.1430381569
358	0.1430268745
359	0.1430214821
360	0.143015362
361	0.1430067814
362	0.1430011355
363	0.1429954508
364	0.1429916066
365	0.1429787752
366	0.1429759224
367	0.1429712026
368	0.142968783
369	0.1429646263
370	0.1429503583
371	0.1429428131
372	0.142932225
373	0.1429247197
374	0.142915652
375	0.142905553
376	0.1429000977
377	0.142892044
378	0.1428890627
379	0.1428821285
380	0.1428669459
381	0.142858631
382	0.1428526643
383	0.1428431906
384	0.1428276439
385	0.1428211732
386	0.1428147038
387	0.1428087791
388	0.1428009012
389	0.1427930135
390	0.1427898328
391	0.1427868739
392	0.1427816867
393	0.142775187
394	0.1427666336
395	0.1427540628
396	0.1427473175
397	0.1427447671
398	0.1427418288
399	0.1427354192
400	0.1427243353
401	0.1427193937
402	0.1427144814
403	0.1427099811
404	0.1427052747
405	0.1427020183
406	0.142694994
407	0.1426902681
408	0.1426872592
409	0.1426758423
410	0.1426706923
411	0.1426644016
412	0.1426547298
413	0.1426504701
414	0.1426468826
415	0.142644348
416	0.1426385909
417	0.1426299024
418	0.142624866
419	0.1426178534
420	0.1426077004
421	0.1426044709
422	0.1425935778
423	0.1425801468
424	0.1425786072
425	0.1425771765
426	0.1425729582
427	0.1425650048
428	0.1425587735
429	0.1425521131
430	0.1425484774
431	0.1425453268
432	0.1425351878
433	0.1425270574
434	0.1425201857
435	0.1425153276
436	0.1425126922
437	0.1425051849
438	0.1424993919
439	0.1424964729
440	0.1424859209
441	0.1424818876
442	0.1424776322
443	0.1424708977
444	0.1424671779
445	0.1424603529
446	0.1424575905
447	0.142450268
448	0.1424434727
449	0.1424378094
450	0.1424282644
451	0.1424247693
452	0.1424224811
453	0.1424138516
454	0.142407106
455	0.1423977453
456	0.1423879461
457	0.1423812982
458	0.1423757797
459	0.1423710754
460	0.1423591022
461	0.1423485622
462	0.1423471117
463	0.1423393248
464	0.1423358402
465	0.1423317108
466	0.14232846
467	0.1423238984
468	0.1423101034
469	0.1423030307
470	0.142296386
471	0.1422907049
472	0.1422868975
473	0.1422851469
474	0.1422839678
475	0.1422807385
476	0.1422786297
477	0.1422752972
478	0.1422711809
479	0.1422677502
480	0.1422622749
481	0.1422591369
482	0.1422559052
483	0.1422491781
484	0.1422447593
485	0.1422429453
486	0.1422399073
487	0.1422324619
488	0.1422304399
489	0.1422275626
490	0.1422196587
491	0.1422149718
492	0.1422083331
493	0.1421969162
494	0.1421941515
495	0.1421889174
496	0.1421819292
497	0.1421780756
498	0.1421746267
499	0.14217185
